record_id,event_id,revision,received_at,effective_at,cancelled,kind,warehouse,destination,sku,quantity,unit_cost,reference_id
E010-07-r2,E010-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00010,99,0,
E021-04-r9,E021-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00021,3,9999,E021-03
E001-01-r2,E001-01,2,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00001,10,100,
E011-12-r2,E011-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,11,170,
E017-07-r2,E017-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00017,99,0,
E013-08-r9,E013-08,9,2025-03-06,2025-02-08,1,RETURN,001,,00013,12,0,E013-03
E008-01-r9,E008-01,9,2025-03-06,2025-02-01,1,RECEIPT,001,,OLD-00008,11,149,
E012-04-r1,E012-04,1,2025-03-05,2025-02-04,0,RETURN,001,,00012,777,9999,E012-03
E011-04-r9,E011-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00011,3,9999,E011-03
E018-14-r2,E018-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00018,12,219,NO-SUCH-ISSUE
E015-05-r2,E015-05,2,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00015,5,0,
E018-13-r2,E018-13,2,2025-03-05,2025-02-28,0,RECEIPT,001,,99999,12,219,
E009-08-r9,E009-08,9,2025-03-06,2025-02-08,1,RETURN,001,,00009,14,0,E009-03
E007-02-r1,E007-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00007,777,182,
E020-09-r2,E020-09,2,2025-03-05,2025-02-09,1,RECEIPT,001,,OLD-00020,999,233,
E001-07-r1,E001-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00001,777,0,
E008-05-r9,E008-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00008,5,0,
E007-03-r2,E007-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00007,12,0,
E009-09-r9,E009-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00009,999,156,
E013-02-r1,E013-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00013,777,224,
E023-06-r1,E023-06,1,2025-03-05,2025-02-06,0,ISSUE,002,,00023,777,0,
E015-10-r2,E015-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,12,198,
E009-05-r9,E009-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00009,5,0,
E010-01-r1,E010-01,1,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00010,777,163,
E004-01-r9,E004-01,9,2025-03-06,2025-02-01,1,RECEIPT,001,,OLD-00004,10,121,
E007-09-r9,E007-09,9,2025-03-06,2025-02-09,1,RECEIPT,001,,OLD-00007,999,142,
E012-06-r1,E012-06,1,2025-03-05,2025-02-06,0,ISSUE,002,,00012,777,0,
E005-09-r1,E005-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00005,777,128,
E020-03-r2,E020-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00020,13,0,
E024-10-r2,E024-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,12,261,
E004-03-r2,E004-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00004,12,0,
E001-10-r2,E001-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,10,100,
E013-12-r2,E013-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,10,184,
E021-04-r2,E021-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00021,3,9999,E021-03
E010-05-r9,E010-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00010,5,0,
E022-07-r2,E022-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00022,99,0,
E010-09-r1,E010-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00010,777,163,
E018-03-r2,E018-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00018,14,0,
E002-08-r1,E002-08,1,2025-03-05,2025-02-08,0,RETURN,001,,00002,777,0,E002-03
E024-04-r2,E024-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00024,3,9999,E024-03
E021-08-r2,E021-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00021,14,0,E021-03
E011-04-r2,E011-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00011,3,9999,E011-03
E005-05-r2,E005-05,2,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00005,5,0,
E015-13-r2,E015-13,2,2025-03-05,2025-02-28,0,RECEIPT,001,,99999,12,198,
E012-02-r1,E012-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00012,777,217,
E010-08-r2,E010-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00010,12,0,E010-03
E009-06-r1,E009-06,1,2025-03-05,2025-02-06,0,ISSUE,002,,00009,777,0,
E013-11-r2,E013-11,2,2025-03-05,2025-02-28,0,RECEIPT,BAD,,MISSING,10,184,
E021-01-r2,E021-01,2,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00021,12,240,
E010-02-r9,E010-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00010,6,203,
E013-03-r2,E013-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00013,12,0,
E012-05-r2,E012-05,2,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00012,5,0,
E010-05-r2,E010-05,2,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00010,5,0,
E010-07-r1,E010-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00010,777,0,
E023-07-r2,E023-07,2,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00023,99,0,
E017-04-r2,E017-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00017,3,9999,E017-03
E022-06-r9,E022-06,9,2025-03-06,2025-02-06,1,ISSUE,002,,00022,3,0,
E022-04-r9,E022-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00022,3,9999,E022-03
E023-01-r1,E023-01,1,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00023,777,254,
E005-07-r9,E005-07,9,2025-03-06,2025-02-07,1,TRANSFER,001,002,OLD-00005,99,0,
E019-06-r1,E019-06,1,2025-03-05,2025-02-06,0,ISSUE,002,,00019,777,0,
E016-08-r1,E016-08,1,2025-03-05,2025-02-08,0,RETURN,001,,00016,777,0,E016-03
E014-04-r2,E014-04,2,2025-03-05,2025-02-04,0,RETURN,001,,00014,3,9999,E014-03
E022-05-r2,E022-05,2,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00022,5,0,
E018-07-r9,E018-07,9,2025-03-06,2025-02-07,1,TRANSFER,001,002,OLD-00018,99,0,
E012-09-r1,E012-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00012,777,177,
E002-06-r2,E002-06,2,2025-03-05,2025-02-06,0,ISSUE,002,,00002,3,0,
E007-05-r2,E007-05,2,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00007,5,0,
E006-05-r1,E006-05,1,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00006,777,0,
E007-01-r1,E007-01,1,2025-03-05,2025-02-01,0,RECEIPT,001,,OLD-00007,777,142,
E019-05-r2,E019-05,2,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00019,5,0,
E024-12-r2,E024-12,2,2025-03-05,2025-02-28,0,RECEIPT,001,,MISSING,12,261,
E018-06-r1,E018-06,1,2025-03-05,2025-02-06,0,ISSUE,002,,00018,777,0,
E003-04-r9,E003-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00003,3,9999,E003-03
E007-13-r2,E007-13,2,2025-03-05,2025-02-28,0,RECEIPT,001,,99999,10,142,
E021-09-r1,E021-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00021,777,240,
E003-03-r9,E003-03,9,2025-03-06,2025-02-03,1,ISSUE,001,,OLD-00003,14,0,
E005-02-r1,E005-02,1,2025-03-05,2025-02-02,0,RECEIPT,001,,00005,777,168,
E018-08-r1,E018-08,1,2025-03-05,2025-02-08,0,RETURN,001,,00018,777,0,E018-03
E014-08-r1,E014-08,1,2025-03-05,2025-02-08,0,RETURN,001,,00014,777,0,E014-03
E012-07-r1,E012-07,1,2025-03-05,2025-02-07,0,TRANSFER,001,002,OLD-00012,777,0,
E007-09-r2,E007-09,2,2025-03-05,2025-02-09,1,RECEIPT,001,,OLD-00007,999,142,
E021-02-r9,E021-02,9,2025-03-06,2025-02-02,1,RECEIPT,001,,00021,6,280,
E004-05-r9,E004-05,9,2025-03-06,2025-02-05,1,TRANSFER,001,002,OLD-00004,5,0,
E009-09-r1,E009-09,1,2025-03-05,2025-02-09,0,RECEIPT,001,,OLD-00009,777,156,
E009-10-r2,E009-10,2,2025-03-05,2025-03-01,0,RECEIPT,001,,MISSING,12,156,
E011-05-r1,E011-05,1,2025-03-05,2025-02-05,0,TRANSFER,001,002,OLD-00011,777,0,
E002-03-r2,E002-03,2,2025-03-05,2025-02-03,0,ISSUE,001,,OLD-00002,13,0,
E018-04-r9,E018-04,9,2025-03-06,2025-02-04,1,RETURN,001,,00018,3,9999,E018-03
E019-14-r2,E019-14,2,2025-03-05,2025-02-28,0,RETURN,001,,OLD-00019,10,226,NO-SUCH-ISSUE
E004-08-r2,E004-08,2,2025-03-05,2025-02-08,0,RETURN,001,,00004,12,0,E004-03
