alias,region_code
LEG-010001,010001
LEG-010009,010009
LEG-010017,010017
LEG-010025,010025
LEG-020003,020003
LEG-020011,020011
LEG-020019,020019
LEG-020027,020027
LEG-030005,030005
LEG-030013,030013
LEG-030021,030021
LEG-030029,030029
LEG-040007,040007
LEG-040015,040015
LEG-040023,040023
LEG-050001,050001
LEG-050009,050009
LEG-050017,050017
LEG-050025,050025
LEG-060003,060003
LEG-060011,060011
LEG-060019,060019
LEG-060027,060027
LEG-070005,070005
LEG-070013,070013
LEG-070021,070021
LEG-070029,070029
LEG-080007,080007
LEG-080015,080015
LEG-080023,080023
