record_id,region_code,year,revision,published_at,status,earners,median_income
I0068-wrong_year,030009,2022,99,2024-06-15,final,2144,40000
I0013-wrong_year,010014,2022,99,2024-06-15,final,1579,28500
I0059-current,020030,2023,2,2024-06-15,final,1397,28500
I0187-current,070008,2023,2,2024-06-15,final,4021,55500
I0049-current,020020,2023,2,2024-06-15,final,567,32000
I0142-wrong_year,050023,2022,99,2024-06-15,final,4286,40500
I0238-wrong_year,080029,2022,99,2024-06-15,final,4254,61000
I0100-not_final,040011,2023,8,2024-06-15,provisional,800,42000
I0024-current,LEG-010025,2023,2,2024-06-15,final,2492,29000
I0072-wrong_year,LEG-030013,2022,99,2024-06-15,final,2476,41500
I0088-superseded,LEG-030029,2023,1,2024-01-01,final,3804,999999
I0061-current,030002,2023,2,2024-06-15,final,1563,41000
I0074-current,030015,2023,2,2024-06-15,final,2642,35000
I0183-wrong_year,070004,2022,99,2024-06-15,final,3689,54000
I0144-current,LEG-050025,2023,2,2024-06-15,final,4452,48500
I0135-current,050016,2023,2,2024-06-15,final,3705,41500
I0102-wrong_year,040013,2022,99,2024-06-15,final,966,35500
I0017-current,010018,2023,2,2024-06-15,final,1911,30000
I0202-current,070023,2023,2,2024-06-15,final,1266,57500
I0049-wrong_year,020020,2022,99,2024-06-15,final,567,32000
I0083-wrong_year,030024,2022,99,2024-06-15,final,3389,42000
I0210-current,080001,2023,2,2024-06-15,final,1930,65000
I0161-wrong_year,060012,2022,99,2024-06-15,final,1863,48500
i-990002,990002,2023,2,2024-06-15,final,0,20000
I0229-current,080020,2023,2,2024-06-15,final,3507,54000
i-990004,990004,2023,2,2024-06-15,final,0,20000
I0223-wrong_year,080014,2022,99,2024-06-15,final,3009,59000
I0064-wrong_year,LEG-030005,2022,99,2024-06-15,final,1812,38500
I0093-current,040004,2023,2,2024-06-15,final,4219,43000
I0019-current,010020,2023,2,2024-06-15,final,2077,23500
I0132-superseded,050013,2023,1,2024-01-01,final,3456,999999
I0042-current,020013,2023,2,2024-06-15,final,3986,33000
I0228-wrong_year,080019,2022,99,2024-06-15,final,3424,64500
I0208-current,LEG-070029,2023,2,2024-06-15,final,1764,52500
I0191-wrong_year,070012,2022,99,2024-06-15,final,4353,57000
I0082-wrong_year,030023,2022,99,2024-06-15,final,3306,38000
I0220-after_cutoff,080011,2023,9,2024-07-01,final,2760,61500
I0228-current,080019,2023,2,2024-06-15,final,3424,64500
I0100-wrong_year,040011,2022,99,2024-06-15,final,800,42000
I0054-current,020025,2023,2,2024-06-15,final,982,37500
I0226-wrong_year,080017,2022,99,2024-06-15,final,3258,56500
I0070-after_cutoff,030011,2023,9,2024-07-01,final,2310,33500
I0167-current,060018,2023,2,2024-06-15,final,2361,43500
I0138-wrong_year,050019,2022,99,2024-06-15,final,3954,39000
I0068-current,030009,2023,2,2024-06-15,final,2144,40000
I0230-current,080021,2023,2,2024-06-15,final,3590,58000
I0168-current,LEG-060019,2023,2,2024-06-15,final,2444,47500
I0033-wrong_year,020004,2022,99,2024-06-15,final,3239,26000
I0170-after_cutoff,060021,2023,9,2024-07-01,final,2610,55500
I0148-wrong_year,050029,2022,99,2024-06-15,final,784,50000
I0131-wrong_year,050012,2022,99,2024-06-15,final,3373,40000
I0178-current,060029,2023,2,2024-06-15,final,3274,44000
I0006-current,010007,2023,2,2024-06-15,final,998,29500
I0194-current,070015,2023,2,2024-06-15,final,602,54500
I0183-current,070004,2023,2,2024-06-15,final,3689,54000
I0129-wrong_year,050010,2022,99,2024-06-15,final,3207,46500
I0019-wrong_year,010020,2022,99,2024-06-15,final,2077,23500
I0230-after_cutoff,080021,2023,9,2024-07-01,final,3590,58000
I0198-wrong_year,070019,2022,99,2024-06-15,final,934,56000
I0015-wrong_year,010016,2022,99,2024-06-15,final,1745,22000
I0162-wrong_year,060013,2022,99,2024-06-15,final,1946,52500
I0014-wrong_year,010015,2022,99,2024-06-15,final,1662,32500
I0175-wrong_year,060026,2022,99,2024-06-15,final,3025,46500
I0001-wrong_year,010002,2022,99,2024-06-15,final,583,24000
I0067-current,030008,2023,2,2024-06-15,final,2061,36000
i-880007,880007,2023,2,2024-06-15,final,0,20000
I0200-not_final,LEG-070021,2023,8,2024-06-15,provisional,1100,49500
I0020-superseded,010021,2023,1,2024-01-01,final,2160,999999
I0233-current,080024,2023,2,2024-06-15,final,3839,55500
I0076-current,030017,2023,2,2024-06-15,final,2808,43000
I0137-current,050018,2023,2,2024-06-15,final,3871,49500
I0136-wrong_year,LEG-050017,2022,99,2024-06-15,final,3788,45500
I0030-current,020001,2023,2,2024-06-15,final,2990,28500
I0052-superseded,020023,2023,1,2024-01-01,final,816,999999
I0154-current,060005,2023,2,2024-06-15,final,1282,49500
I0080-after_cutoff,LEG-030021,2023,9,2024-07-01,final,3140,30000
I0139-wrong_year,050020,2022,99,2024-06-15,final,4037,43000
I0228-superseded,080019,2023,1,2024-01-01,final,3424,999999
I0165-current,060016,2023,2,2024-06-15,final,2195,50000
I0196-wrong_year,070017,2022,99,2024-06-15,final,768,48000
I0154-wrong_year,060005,2022,99,2024-06-15,final,1282,49500
I0108-superseded,040019,2023,1,2024-01-01,final,1464,999999
I0016-current,LEG-010017,2023,2,2024-06-15,final,1828,26000
I0055-current,020026,2023,2,2024-06-15,final,1065,27000
I0010-wrong_year,010011,2022,99,2024-06-15,final,1330,31000
I0109-current,040020,2023,2,2024-06-15,final,1547,34500
I0035-current,020006,2023,2,2024-06-15,final,3405,34000
i-880008,880008,2023,2,2024-06-15,final,0,20000
I0017-wrong_year,010018,2022,99,2024-06-15,final,1911,30000
I0032-superseded,LEG-020003,2023,1,2024-01-01,final,3156,999999
I0146-wrong_year,050027,2022,99,2024-06-15,final,618,42000
I0170-current,060021,2023,2,2024-06-15,final,2610,55500
I0233-wrong_year,080024,2022,99,2024-06-15,final,3839,55500
I0120-wrong_year,LEG-050001,2022,99,2024-06-15,final,2460,39500
