record_id,region_code,year,revision,published_at,status,men,women,population
P0174-wrong_year,060025,2022,99,2024-06-15,final,4878,5286,10164
P0108-superseded,040019,2023,1,2024-01-01,final,999999,3112,8588
P0234-current,080025,2023,2,2024-06-15,final,3698,6626,10324
P0118-wrong_year,040029,2022,99,2024-06-15,final,6446,4502,10948
p-880006,880006,2023,2,2024-06-15,final,?,2100,4100
P0077-wrong_year,030018,2022,99,2024-06-15,final,2469,5803,8272
P0026-wrong_year,010027,2022,99,2024-06-15,final,4522,5714,10236
P0238-wrong_year,080029,2022,99,2024-06-15,final,4086,7182,11268
P0198-wrong_year,070019,2022,99,2024-06-15,final,7206,8622,15828
P0172-current,060023,2023,2,2024-06-15,final,4684,5008,9692
P0090-current,040001,2023,2,2024-06-15,final,?,7610,11340
p-990001,990001,2023,2,2024-06-15,final,?,2100,4100
P0158-wrong_year,060009,2022,99,2024-06-15,final,3326,3062,6388
P0233-wrong_year,080024,2022,99,2024-06-15,final,3601,6487,10088
P0080-wrong_year,LEG-030021,2022,99,2024-06-15,final,2760,6220,8980
P0204-superseded,070025,2023,1,2024-01-01,final,999999,2456,10244
P0065-wrong_year,030006,2022,99,2024-06-15,final,8305,4135,12440
P0187-current,070008,2023,2,2024-06-15,final,6139,7093,13232
P0044-current,020015,2023,2,2024-06-15,final,6268,8216,14484
P0137-wrong_year,050018,2022,99,2024-06-15,final,8289,7143,15432
P0162-wrong_year,060013,2022,99,2024-06-15,final,3714,3618,7332
P0021-current,010022,2023,2,2024-06-15,final,4037,5019,9056
P0189-wrong_year,070010,2022,99,2024-06-15,final,6333,7371,13704
P0087-current,030028,2023,2,2024-06-15,final,3439,7193,10632
P0230-current,080021,2023,2,2024-06-15,final,3310,6070,9380
P0043-wrong_year,020014,2022,99,2024-06-15,final,6171,8077,14248
P0101-wrong_year,040012,2022,99,2024-06-15,final,4797,2139,6936
P0222-wrong_year,080013,2022,99,2024-06-15,final,2534,4958,7492
P0080-after_cutoff,LEG-030021,2023,9,2024-07-01,final,2760,6220,8980
P0199-wrong_year,070020,2022,99,2024-06-15,final,7303,8761,16064
P0164-current,060015,2023,2,2024-06-15,final,3908,3896,7804
P0178-current,060029,2023,2,2024-06-15,final,5266,5842,11108
P0002-current,010003,2023,2,2024-06-15,final,2194,2378,?
P0028-wrong_year,010029,2022,99,2024-06-15,final,4716,5992,10708
P0120-after_cutoff,LEG-050001,2023,9,2024-07-01,final,6640,4780,11420
P0166-wrong_year,060017,2022,99,2024-06-15,final,4102,4174,8276
P0010-wrong_year,010011,2022,99,2024-06-15,final,2970,3490,6460
P0029-wrong_year,010030,2022,99,2024-06-15,final,4813,6131,10944
P0018-wrong_year,010019,2022,99,2024-06-15,final,3746,4602,8348
P0087-wrong_year,030028,2022,99,2024-06-15,final,3439,7193,10632
P0141-wrong_year,050022,2022,99,2024-06-15,final,8677,7699,16376
P0030-after_cutoff,020001,2023,9,2024-07-01,final,4910,6270,11180
P0135-wrong_year,050016,2022,99,2024-06-15,final,8095,6865,14960
P0152-wrong_year,LEG-060003,2022,99,2024-06-15,final,2744,2228,4972
P0155-current,060006,2023,2,2024-06-15,final,3035,2645,5680
P0056-superseded,LEG-020027,2023,1,2024-01-01,final,999999,2884,10316
P0169-current,060020,2023,2,2024-06-15,final,4393,4591,8984
P0065-current,030006,2023,2,2024-06-15,final,8305,4135,12440
P0017-wrong_year,010018,2022,99,2024-06-15,final,3649,4463,8112
P0062-current,030003,2023,2,2024-06-15,final,8014,3718,?
P0110-after_cutoff,040021,2023,9,2024-07-01,final,5670,3390,9060
P0063-wrong_year,030004,2022,99,2024-06-15,final,8111,3857,11968
P0198-current,070019,2023,2,2024-06-15,final,7206,8622,15828
P0169-wrong_year,060020,2022,99,2024-06-15,final,4393,4591,8984
P0210-wrong_year,080001,2022,99,2024-06-15,final,8370,3290,11660
P0105-current,040016,2023,2,2024-06-15,final,?,2695,7880
P0010-after_cutoff,010011,2023,9,2024-07-01,final,2970,3490,6460
P0116-wrong_year,040027,2022,99,2024-06-15,final,6252,4224,10476
P0122-current,050003,2023,2,2024-06-15,final,6834,5058,?
P0076-superseded,030017,2023,1,2024-01-01,final,999999,5664,8036
P0058-wrong_year,020029,2022,99,2024-06-15,final,7626,3162,10788
P0157-current,060008,2023,2,2024-06-15,final,3229,2923,6152
P0163-wrong_year,060014,2022,99,2024-06-15,final,3811,3757,7568
P0029-current,010030,2023,2,2024-06-15,final,4813,6131,10944
