region_code,region_name,state,active
010001,Distrito 01,Aurora,1
010002,Distrito 02,Aurora,1
010003,Distrito 03,Aurora,1
010004,Distrito 04,Aurora,1
010005,Distrito 05,Aurora,1
010006,Distrito 06,Aurora,1
010007,Distrito 07,Aurora,1
010008,Distrito 08,Aurora,1
010009,Distrito 09,Aurora,1
010010,Distrito 10,Aurora,1
010011,Distrito 11,Aurora,1
010012,Distrito 12,Aurora,1
010013,Distrito 13,Aurora,1
010014,Distrito 14,Aurora,1
010015,Distrito 15,Aurora,1
010016,Distrito 16,Aurora,1
010017,Distrito 17,Aurora,1
010018,Distrito 18,Aurora,1
010019,Distrito 19,Aurora,1
010020,Distrito 20,Aurora,1
010021,Distrito 21,Aurora,1
010022,Distrito 22,Aurora,1
010023,Distrito 23,Aurora,1
010024,Distrito 24,Aurora,1
010025,Distrito 25,Aurora,1
010026,Distrito 26,Aurora,1
010027,Distrito 27,Aurora,1
010028,Distrito 28,Aurora,1
010029,Distrito 29,Aurora,1
010030,Distrito 30,Aurora,1
020001,Distrito 01,Boreal,1
020002,Distrito 02,Boreal,1
020003,Distrito 03,Boreal,1
020004,Distrito 04,Boreal,1
020005,Distrito 05,Boreal,1
020006,Distrito 06,Boreal,1
020007,Distrito 07,Boreal,1
020008,Distrito 08,Boreal,1
020009,Distrito 09,Boreal,1
020010,Distrito 10,Boreal,1
020011,Distrito 11,Boreal,1
020012,Distrito 12,Boreal,1
020013,Distrito 13,Boreal,1
020014,Distrito 14,Boreal,1
020015,Distrito 15,Boreal,1
020016,Distrito 16,Boreal,1
020017,Distrito 17,Boreal,1
020018,Distrito 18,Boreal,1
020019,Distrito 19,Boreal,1
020020,Distrito 20,Boreal,1
020021,Distrito 21,Boreal,1
020022,Distrito 22,Boreal,1
020023,Distrito 23,Boreal,1
020024,Distrito 24,Boreal,1
020025,Distrito 25,Boreal,1
020026,Distrito 26,Boreal,1
020027,Distrito 27,Boreal,1
020028,Distrito 28,Boreal,1
020029,Distrito 29,Boreal,1
020030,Distrito 30,Boreal,1
030001,Distrito 01,Cedro,1
030002,Distrito 02,Cedro,1
030003,Distrito 03,Cedro,1
030004,Distrito 04,Cedro,1
030005,Distrito 05,Cedro,1
030006,Distrito 06,Cedro,1
030007,Distrito 07,Cedro,1
030008,Distrito 08,Cedro,1
030009,Distrito 09,Cedro,1
030010,Distrito 10,Cedro,1
030011,Distrito 11,Cedro,1
030012,Distrito 12,Cedro,1
030013,Distrito 13,Cedro,1
030014,Distrito 14,Cedro,1
030015,Distrito 15,Cedro,1
030016,Distrito 16,Cedro,1
030017,Distrito 17,Cedro,1
030018,Distrito 18,Cedro,1
030019,Distrito 19,Cedro,1
030020,Distrito 20,Cedro,1
030021,Distrito 21,Cedro,1
030022,Distrito 22,Cedro,1
030023,Distrito 23,Cedro,1
030024,Distrito 24,Cedro,1
030025,Distrito 25,Cedro,1
030026,Distrito 26,Cedro,1
030027,Distrito 27,Cedro,1
030028,Distrito 28,Cedro,1
030029,Distrito 29,Cedro,1
030030,Distrito 30,Cedro,1
040001,Distrito 01,Duna,1
040002,Distrito 02,Duna,1
040003,Distrito 03,Duna,1
040004,Distrito 04,Duna,1
040005,Distrito 05,Duna,1
040006,Distrito 06,Duna,1
040007,Distrito 07,Duna,1
040008,Distrito 08,Duna,1
040009,Distrito 09,Duna,1
040010,Distrito 10,Duna,1
040011,Distrito 11,Duna,1
040012,Distrito 12,Duna,1
040013,Distrito 13,Duna,1
040014,Distrito 14,Duna,1
040015,Distrito 15,Duna,1
040016,Distrito 16,Duna,1
040017,Distrito 17,Duna,1
040018,Distrito 18,Duna,1
040019,Distrito 19,Duna,1
040020,Distrito 20,Duna,1
040021,Distrito 21,Duna,1
040022,Distrito 22,Duna,1
040023,Distrito 23,Duna,1
040024,Distrito 24,Duna,1
040025,Distrito 25,Duna,1
040026,Distrito 26,Duna,1
040027,Distrito 27,Duna,1
040028,Distrito 28,Duna,1
040029,Distrito 29,Duna,1
040030,Distrito 30,Duna,1
050001,Distrito 01,Estrela,1
050002,Distrito 02,Estrela,1
050003,Distrito 03,Estrela,1
050004,Distrito 04,Estrela,1
050005,Distrito 05,Estrela,1
050006,Distrito 06,Estrela,1
050007,Distrito 07,Estrela,1
050008,Distrito 08,Estrela,1
050009,Distrito 09,Estrela,1
050010,Distrito 10,Estrela,1
050011,Distrito 11,Estrela,1
050012,Distrito 12,Estrela,1
050013,Distrito 13,Estrela,1
050014,Distrito 14,Estrela,1
050015,Distrito 15,Estrela,1
050016,Distrito 16,Estrela,1
050017,Distrito 17,Estrela,1
050018,Distrito 18,Estrela,1
050019,Distrito 19,Estrela,1
050020,Distrito 20,Estrela,1
050021,Distrito 21,Estrela,1
050022,Distrito 22,Estrela,1
050023,Distrito 23,Estrela,1
050024,Distrito 24,Estrela,1
050025,Distrito 25,Estrela,1
050026,Distrito 26,Estrela,1
050027,Distrito 27,Estrela,1
050028,Distrito 28,Estrela,1
050029,Distrito 29,Estrela,1
050030,Distrito 30,Estrela,1
060001,Distrito 01,Foz,1
060002,Distrito 02,Foz,1
060003,Distrito 03,Foz,1
060004,Distrito 04,Foz,1
060005,Distrito 05,Foz,1
060006,Distrito 06,Foz,1
060007,Distrito 07,Foz,1
060008,Distrito 08,Foz,1
060009,Distrito 09,Foz,1
060010,Distrito 10,Foz,1
060011,Distrito 11,Foz,1
060012,Distrito 12,Foz,1
060013,Distrito 13,Foz,1
060014,Distrito 14,Foz,1
060015,Distrito 15,Foz,1
060016,Distrito 16,Foz,1
060017,Distrito 17,Foz,1
060018,Distrito 18,Foz,1
060019,Distrito 19,Foz,1
060020,Distrito 20,Foz,1
060021,Distrito 21,Foz,1
060022,Distrito 22,Foz,1
060023,Distrito 23,Foz,1
060024,Distrito 24,Foz,1
060025,Distrito 25,Foz,1
060026,Distrito 26,Foz,1
060027,Distrito 27,Foz,1
060028,Distrito 28,Foz,1
060029,Distrito 29,Foz,1
060030,Distrito 30,Foz,1
070001,Distrito 01,Granito,1
070002,Distrito 02,Granito,1
070003,Distrito 03,Granito,1
070004,Distrito 04,Granito,1
070005,Distrito 05,Granito,1
070006,Distrito 06,Granito,1
070007,Distrito 07,Granito,1
070008,Distrito 08,Granito,1
070009,Distrito 09,Granito,1
070010,Distrito 10,Granito,1
070011,Distrito 11,Granito,1
070012,Distrito 12,Granito,1
070013,Distrito 13,Granito,1
070014,Distrito 14,Granito,1
070015,Distrito 15,Granito,1
070016,Distrito 16,Granito,1
070017,Distrito 17,Granito,1
070018,Distrito 18,Granito,1
070019,Distrito 19,Granito,1
070020,Distrito 20,Granito,1
070021,Distrito 21,Granito,1
070022,Distrito 22,Granito,1
070023,Distrito 23,Granito,1
070024,Distrito 24,Granito,1
070025,Distrito 25,Granito,1
070026,Distrito 26,Granito,1
070027,Distrito 27,Granito,1
070028,Distrito 28,Granito,1
070029,Distrito 29,Granito,1
070030,Distrito 30,Granito,1
080001,Distrito 01,Horizonte,1
080002,Distrito 02,Horizonte,1
080003,Distrito 03,Horizonte,1
080004,Distrito 04,Horizonte,1
080005,Distrito 05,Horizonte,1
080006,Distrito 06,Horizonte,1
080007,Distrito 07,Horizonte,1
080008,Distrito 08,Horizonte,1
080009,Distrito 09,Horizonte,1
080010,Distrito 10,Horizonte,1
080011,Distrito 11,Horizonte,1
080012,Distrito 12,Horizonte,1
080013,Distrito 13,Horizonte,1
080014,Distrito 14,Horizonte,1
080015,Distrito 15,Horizonte,1
080016,Distrito 16,Horizonte,1
080017,Distrito 17,Horizonte,1
080018,Distrito 18,Horizonte,1
080019,Distrito 19,Horizonte,1
080020,Distrito 20,Horizonte,1
080021,Distrito 21,Horizonte,1
080022,Distrito 22,Horizonte,1
080023,Distrito 23,Horizonte,1
080024,Distrito 24,Horizonte,1
080025,Distrito 25,Horizonte,1
080026,Distrito 26,Horizonte,1
080027,Distrito 27,Horizonte,1
080028,Distrito 28,Horizonte,1
