day,warehouse,max_orders
2025-04-05,003,3
2025-04-11,002,3
2025-04-02,002,3
2025-04-03,003,3
2025-04-02,003,4
2025-04-07,003,2
2025-04-01,001,2
2025-04-04,003,3
2025-04-10,001,4
2025-04-02,001,2
2025-04-09,001,2
2025-04-05,001,3
2025-04-06,003,4
2025-04-03,001,3
2025-04-03,002,2
2025-04-07,001,3
2025-04-12,001,3
2025-04-04,002,4
2025-04-12,003,4
2025-04-07,002,2
2025-04-12,002,3
2025-04-04,001,3
2025-04-08,001,2
2025-04-08,002,4
2025-04-11,001,4
2025-04-08,003,3
2025-04-11,003,4
2025-04-01,002,4
2025-04-06,002,2
2025-04-09,002,4
2025-04-01,003,3
2025-04-09,003,4
2025-04-10,003,2
2025-04-05,002,4
2025-04-10,002,2
2025-04-06,001,4
