day,warehouse,component,quantity
2025-04-08,003,B,19
2025-04-10,003,A,28
2025-04-05,002,A,30
2025-04-02,002,A,31
2025-04-02,001,B,17
2025-04-12,001,D,15
2025-04-11,002,D,9
2025-04-09,003,C,14
2025-04-11,003,B,8
2025-04-04,001,A,28
2025-04-09,001,B,18
2025-04-06,001,B,16
2025-04-12,002,C,32
2025-04-03,001,A,18
2025-04-11,003,C,13
2025-04-12,001,B,29
2025-04-11,003,D,25
2025-04-07,002,D,18
2025-04-06,001,C,28
2025-04-07,002,B,8
2025-04-02,002,D,18
2025-04-03,001,B,16
2025-04-05,003,A,17
2025-04-08,002,D,21
2025-04-02,003,D,18
2025-04-03,002,A,17
2025-04-01,002,B,17
2025-04-12,002,A,11
2025-04-03,003,C,21
2025-04-05,003,C,22
2025-04-12,003,C,8
2025-04-10,003,B,9
2025-04-02,003,C,32
2025-04-03,003,A,19
2025-04-01,003,A,30
2025-04-01,002,C,20
2025-04-05,003,B,20
2025-04-04,003,C,33
2025-04-06,003,C,19
2025-04-06,003,A,15
2025-04-01,002,A,20
2025-04-03,002,B,30
2025-04-07,001,D,15
2025-04-04,002,A,15
2025-04-06,002,C,33
2025-04-08,001,B,32
2025-04-06,002,D,9
2025-04-06,003,D,21
2025-04-02,001,C,14
2025-04-04,002,D,31
2025-04-12,002,B,32
2025-04-11,001,B,32
2025-04-04,001,B,22
2025-04-11,001,C,23
2025-04-01,001,D,15
2025-04-04,003,A,17
2025-04-08,002,B,13
2025-04-10,002,C,20
2025-04-05,003,D,22
2025-04-10,001,C,19
2025-04-07,001,A,10
2025-04-09,002,D,10
2025-04-07,002,A,10
2025-04-12,001,C,22
2025-04-06,001,A,27
2025-04-03,001,C,13
2025-04-06,002,B,31
2025-04-08,001,D,11
2025-04-06,001,D,25
2025-04-10,002,B,11
2025-04-02,003,A,30
2025-04-05,001,B,27
2025-04-10,003,D,15
2025-04-11,001,D,31
2025-04-12,002,D,29
2025-04-09,003,D,17
2025-04-08,001,C,15
2025-04-02,002,C,24
2025-04-04,003,B,25
2025-04-09,002,B,8
2025-04-05,001,D,11
2025-04-07,003,A,13
2025-04-10,001,B,11
2025-04-07,003,C,27
2025-04-08,003,D,22
2025-04-04,002,C,31
2025-04-04,001,D,31
2025-04-11,003,A,26
2025-04-12,001,A,17
2025-04-08,002,A,11
2025-04-09,001,C,9
2025-04-09,001,A,16
2025-04-11,001,A,22
2025-04-02,002,B,25
2025-04-07,003,D,19
2025-04-03,002,C,10
2025-04-03,003,D,33
2025-04-11,002,C,33
2025-04-01,001,B,33
2025-04-04,002,B,29
2025-04-05,002,C,11
2025-04-05,001,A,19
2025-04-07,001,C,31
2025-04-03,002,D,14
2025-04-08,001,A,25
2025-04-11,002,A,11
2025-04-05,002,B,33
2025-04-10,002,D,26
2025-04-05,001,C,17
2025-04-05,002,D,27
2025-04-01,001,A,19
2025-04-02,001,A,20
2025-04-04,003,D,28
2025-04-09,001,D,29
2025-04-07,001,B,33
2025-04-09,002,A,19
2025-04-08,003,C,28
2025-04-08,002,C,30
2025-04-09,003,A,10
2025-04-07,002,C,25
2025-04-09,002,C,12
2025-04-03,001,D,16
2025-04-10,002,A,11
2025-04-01,003,C,13
2025-04-06,002,A,32
2025-04-07,003,B,9
2025-04-04,001,C,21
2025-04-01,003,D,28
2025-04-01,001,C,27
2025-04-01,003,B,8
2025-04-12,003,D,13
2025-04-08,003,A,34
2025-04-12,003,A,10
2025-04-10,001,A,32
2025-04-06,003,B,22
2025-04-03,003,B,16
2025-04-11,002,B,9
2025-04-10,001,D,24
2025-04-10,003,C,9
2025-04-01,002,D,18
2025-04-12,003,B,24
2025-04-02,003,B,19
2025-04-02,001,D,11
2025-04-09,003,B,18
