day,order_id,product,quantity,zone,max_transit_days,priority_points
2025-04-02,O02-06,D,2,E,2,40
2025-04-10,O10-01,OLD-K4,2,E,1,40
2025-04-06,O06-06,K1,3,S,1,30
2025-04-10,O10-04,OLD-K4,3,E,3,40
2025-04-09,O09-09,C,3,S,2,40
2025-04-10,O10-09,K2,1,E,3,10
2025-04-06,O06-04,OLD-K4,1,E,3,10
2025-04-10,O10-02,K3,2,E,1,30
2025-04-01,O01-06,C,3,S,2,10
2025-04-08,O08-10,OLD-A,2,E,3,20
2025-04-04,O04-04,OLD-C,2,S,2,30
2025-04-07,O07-05,K3,1,N,3,10
2025-04-11,O11-02,K3,2,S,2,30
2025-04-12,O12-09,C,3,S,3,20
2025-04-12,O12-07,OLD-K3,1,E,3,10
2025-04-01,O01-03,A,3,N,2,40
2025-04-09,O09-02,K3,2,N,3,30
2025-04-01,O01-09,C,3,N,1,20
2025-04-12,O12-02,K3,2,N,1,30
2025-04-05,O05-06,D,1,N,1,40
2025-04-09,O09-06,D,1,N,3,20
2025-04-07,O07-06,K3,2,N,1,40
2025-04-02,O02-09,K2,2,N,3,40
2025-04-11,O11-08,B,2,N,3,10
2025-04-11,O11-07,OLD-K2,3,S,1,30
2025-04-05,O05-07,OLD-K2,1,N,3,40
2025-04-12,O12-04,OLD-B,3,S,2,20
2025-04-10,O10-06,K3,2,N,2,20
2025-04-02,O02-05,K2,3,S,3,30
2025-04-04,O04-03,A,1,N,2,40
2025-04-12,O12-08,D,2,E,2,30
2025-04-05,O05-01,OLD-K4,2,S,1,40
2025-04-08,O08-08,B,3,E,3,40
2025-04-10,O10-07,OLD-K4,2,S,1,40
2025-04-04,O04-05,K1,2,E,2,40
2025-04-06,O06-07,OLD-A,1,S,3,20
2025-04-10,O10-03,K4,2,S,2,40
2025-04-11,O11-09,K3,2,N,3,30
2025-04-02,O02-10,OLD-K2,2,E,1,20
2025-04-02,O02-08,K1,1,S,3,40
2025-04-05,O05-02,K3,2,N,1,30
2025-04-07,O07-08,D,1,N,1,40
2025-04-06,O06-01,OLD-K4,2,E,2,40
2025-04-03,O03-08,D,2,N,1,10
